tFirst,tSecond,type
2014-06-07 01:15:54,2014-06-07 08:45:14,2
2014-06-07 08:45:14,2014-06-07 08:47:57,1
2014-06-07 08:47:57,2014-06-07 11:04:46,2
2014-06-07 11:04:46,2014-06-08 01:42:21,1
2014-06-08 01:42:21,2014-06-08 09:43:04,2
2014-06-08 09:43:04,2014-06-09 01:47:35,1
2014-06-09 01:47:35,2014-06-09 09:32:45,2
2014-06-09 09:32:45,2014-06-10 01:39:40,1
2014-06-10 01:39:40,2014-06-10 09:37:17,2
2014-06-10 09:37:17,2014-06-11 01:41:06,1
2014-06-11 01:41:06,2014-06-11 09:43:21,2
2014-06-11 09:43:21,2014-06-12 01:38:55,1
2014-06-12 01:38:55,2014-06-12 09:32:00,2
2014-06-12 09:32:00,2014-06-13 01:47:50,1
2014-06-13 01:47:50,2014-06-13 09:32:55,2
2014-06-13 09:32:55,2014-06-14 01:44:21,1
2014-06-14 01:44:21,2014-06-14 09:36:15,2
2014-06-14 09:36:15,2014-06-15 01:46:28,1
2014-06-15 01:46:28,2014-06-15 09:31:28,2
2014-06-15 09:31:28,2014-06-16 01:45:36,1
2014-06-16 01:45:36,2014-06-16 09:33:01,2
2014-06-16 09:33:01,2014-06-17 01:48:28,1
2014-06-17 01:48:28,2014-06-17 09:58:25,2
2014-06-17 09:58:25,2014-06-18 01:50:18,1
2014-06-18 01:50:18,2014-06-18 09:41:35,2
2014-06-18 09:41:35,2014-06-19 01:46:45,1
2014-06-19 01:46:45,2014-06-19 09:32:56,2
2014-06-19 09:32:56,2014-06-20 01:48:06,1
2014-06-20 01:48:06,2014-06-20 09:43:30,2
2014-06-20 09:43:30,2014-06-21 01:49:22,1
2014-06-21 01:49:22,2014-06-21 09:34:24,2
2014-06-21 09:34:24,2014-06-22 01:47:40,1
2014-06-22 01:47:40,2014-06-22 09:34:57,2
2014-06-22 09:34:57,2014-06-23 01:43:01,1
2014-06-23 01:43:01,2014-06-23 09:38:21,2
2014-06-23 09:38:21,2014-06-24 01:51:45,1
2014-06-24 01:51:45,2014-06-24 09:44:05,2
2014-06-24 09:44:05,2014-06-25 01:51:48,1
2014-06-25 01:51:48,2014-06-25 09:40:52,2
2014-06-25 09:40:52,2014-06-26 01:45:45,1
2014-06-26 01:45:45,2014-06-26 09:41:36,2
2014-06-26 09:41:36,2014-06-27 01:51:54,1
2014-06-27 01:51:54,2014-06-27 09:31:30,2
2014-06-27 09:31:30,2014-06-28 01:51:51,1
2014-06-28 01:51:51,2014-06-28 09:33:51,2
2014-06-28 09:33:51,2014-06-29 01:45:36,1
2014-06-29 01:45:36,2014-06-29 09:39:42,2
2014-06-29 09:39:42,2014-06-30 01:53:01,1
2014-06-30 01:53:01,2014-06-30 09:45:51,2
2014-06-30 09:45:51,2014-07-01 01:40:55,1
2014-07-01 01:40:55,2014-07-01 09:35:45,2
2014-07-01 09:35:45,2014-07-02 01:52:20,1
2014-07-02 01:52:20,2014-07-02 09:33:36,2
2014-07-02 09:33:36,2014-07-03 01:53:30,1
2014-07-03 01:53:30,2014-07-03 09:42:48,2
2014-07-03 09:42:48,2014-07-04 01:44:14,1
2014-07-04 01:44:14,2014-07-04 09:38:42,2
2014-07-04 09:38:42,2014-07-05 01:49:12,1
2014-07-05 01:49:12,2014-07-05 09:40:55,2
2014-07-05 09:40:55,2014-07-06 01:46:00,1
2014-07-06 01:46:00,2014-07-06 09:40:51,2
2014-07-06 09:40:51,2014-07-07 01:35:48,1
2014-07-07 01:35:48,2014-07-07 09:43:06,2
2014-07-07 09:43:06,2014-07-08 01:51:36,1
2014-07-08 01:51:36,2014-07-08 09:45:53,2
2014-07-08 09:45:53,2014-07-09 01:37:18,1
2014-07-09 01:37:18,2014-07-09 09:40:51,2
2014-07-09 09:40:51,2014-07-10 01:46:26,1
2014-07-10 01:46:26,2014-07-10 09:46:15,2
2014-07-10 09:46:15,2014-07-11 01:46:06,1
2014-07-11 01:46:06,2014-07-11 09:46:15,2
2014-07-11 09:46:15,2014-07-12 01:44:06,1
2014-07-12 01:44:06,2014-07-12 09:45:09,2
2014-07-12 09:45:09,2014-07-13 01:21:51,1
2014-07-13 01:21:51,2014-07-13 09:44:51,2
2014-07-13 09:44:51,2014-07-14 01:44:06,1
2014-07-14 01:44:06,2014-07-14 09:49:12,2
2014-07-14 09:49:12,2014-07-15 01:38:22,1
2014-07-15 01:38:22,2014-07-15 09:52:25,2
2014-07-15 09:52:25,2014-07-16 01:45:54,1
2014-07-16 01:45:54,2014-07-16 09:51:30,2
2014-07-16 09:51:30,2014-07-17 01:43:51,1
2014-07-17 01:43:51,2014-07-17 09:54:21,2
2014-07-17 09:54:21,2014-07-18 01:42:00,1
2014-07-18 01:42:00,2014-07-18 09:55:01,2
2014-07-18 09:55:01,2014-07-19 01:42:19,1
2014-07-19 01:42:19,2014-07-19 09:56:06,2
2014-07-19 09:56:06,2014-07-20 01:35:36,1
2014-07-20 01:35:36,2014-07-20 09:57:49,2
2014-07-20 09:57:49,2014-07-21 01:40:33,1
2014-07-21 01:40:33,2014-07-21 09:56:51,2
2014-07-21 09:56:51,2014-07-22 01:34:55,1
2014-07-22 01:34:55,2014-07-22 09:58:25,2
2014-07-22 09:58:25,2014-07-23 01:31:06,1
2014-07-23 01:31:06,2014-07-23 09:58:21,2
2014-07-23 09:58:21,2014-07-24 01:35:51,1
2014-07-24 01:35:51,2014-07-24 10:03:36,2
2014-07-24 10:03:36,2014-07-25 01:33:36,1
2014-07-25 01:33:36,2014-07-25 10:04:43,2
2014-07-25 10:04:43,2014-07-26 01:33:35,1
2014-07-26 01:33:35,2014-07-26 10:04:51,2
2014-07-26 10:04:51,2014-07-27 01:26:10,1
